family, generation, instance_type, ECU, vCPU, physical_processor, clock_speed_ghz, pretty_name, memory, network_performance, FPGA, GPU, storage_devices, storage_ssd, storage_nvme_ssd, storage_size, pricing, entry
General purpose,current,m5a.4xlarge,0,16,AMD EPYC 7571,2.5 GHz,M5A Quadruple Extra Large,64,Up to 10 Gigabit,0,0,,,,,0.688,90
Memory optimized,current,r5ad.2xlarge,0,8,AMD EPYC 7571,2.5 GHz,R5AD Double Extra Large,64,10 Gigabit,0,0,1,true,true,300,0.524,90
General purpose,current,t2.xlarge,variable,4,Intel Xeon Family,Up to 3.0 GHz,T2 Extra Large,16,Moderate,0,0,,,,,0.1856,90
GPU instance,current,p3dn.24xlarge,345,96,Intel Xeon Platinum 8175 (Skylake),2.5 GHz,P3DN 24xlarge,768,100 Gigabit,0,8,2,true,true,900,31.212,90
GPU instance,current,p2.16xlarge,188,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,General Purpose GPU 16xlarge,768,20 Gigabit,0,16,,,,,14.4,90
Compute optimized,previous,c3.8xlarge,108,32,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,C3 High-CPU Eight Extra Large,60,10 Gigabit,0,0,2,true,false,320,1.68,90
General purpose,previous,m3.medium,3,1,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz,M3 General Purpose Medium,3.75,Moderate,0,0,1,true,false,4,0.067,90
Memory optimized,current,x1e.2xlarge,23,8,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,X1E Double Extra Large,244,Up to 10 Gigabit,0,0,1,true,false,240,1.668,90
General purpose,current,m5ad.2xlarge,0,8,AMD EPYC 7571,2.5 GHz,M5AD Double Extra Large,32,Up to 10 Gigabit,0,0,1,true,true,300,0.412,90
Memory optimized,current,r5a.2xlarge,0,8,AMD EPYC 7571,2.5 GHz,R5A Double Extra Large,64,10 Gigabit,0,0,,,,,0.452,90
General purpose,current,m5a.12xlarge,0,48,AMD EPYC 7571,2.5 GHz,M5A 12xlarge,192,10 Gigabit,0,0,,,,,2.064,90
General purpose,current,t2.small,variable,1,Intel Xeon Family,Up to 3.3 GHz,T2 Small,2,Low to Moderate,0,0,,,,,0.023,90
Storage optimized,current,d2.xlarge,14,4,Intel Xeon E5-2676v3 (Haswell),2.4 GHz,D2 Extra Large,30.5,Moderate,0,0,3,false,false,2000,0.69,90
Compute optimized,current,c5.2xlarge,34,8,Intel Xeon Platinum 8124M,3.0 Ghz,C5 High-CPU Double Extra Large,16,Up to 10 Gigabit,0,0,,,,,0.34,90
General purpose,current,t3.medium,variable,2,Intel Skylake E5 2686 v5 (2.5 GHz),,T3 Medium,4,Low to Moderate,0,0,,,,,0.0416,90
General purpose,previous,m1.xlarge,8,4,Intel Xeon Family,,M1 General Purpose Extra Large,15,High,0,0,4,false,false,420,0.35,90
Compute optimized,current,c5d.2xlarge,34,8,Intel Xeon Platinum 8124M,3.0 Ghz,C5 High-CPU Double Extra Large,16,Up to 10 Gigabit,0,0,1,true,true,200,0.384,90
General purpose,previous,m3.xlarge,13,4,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz,M3 General Purpose Extra Large,15,High,0,0,2,true,false,40,0.266,90
General purpose,previous,m1.medium,2,1,Intel Xeon Family,,M1 General Purpose Medium,3.75,Moderate,0,0,1,false,false,410,0.087,90
General purpose,current,t3a.medium,variable,2,AMD EPYC 7571,2.5 GHz,T3A Medium,4,Low to Moderate,0,0,,,,,0.0376,90
Memory optimized,current,r4.16xlarge,195,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,R4 High-Memory 16xlarge,488,20 Gigabit,0,0,,,,,4.256,90
Storage optimized,current,i3.xlarge,13,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,I3 High I/O Extra Large,30.5,Up to 10 Gigabit,0,0,1,true,true,950,0.312,90
Memory optimized,current,z1d.2xlarge,53,8,Intel Xeon Platinum 8151,,Z1D Double Extra Large,64,Up to 10 Gigabit,0,0,1,true,true,300,0.744,90
Compute optimized,previous,c3.xlarge,14,4,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,C3 High-CPU Extra Large,7.5,Moderate,0,0,2,true,false,40,0.21,90
Compute optimized,previous,c3.2xlarge,28,8,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,C3 High-CPU Double Extra Large,15,High,0,0,2,true,false,80,0.42,90
Memory optimized,previous,r3.2xlarge,26,8,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,R3 High-Memory Double Extra Large,61,High,0,0,1,true,false,160,0.665,90
Memory optimized,current,r4.2xlarge,27,8,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,R4 High-Memory Double Extra Large,61,Up to 10 Gigabit,0,0,,,,,0.532,90
GPU instance,current,p2.8xlarge,94,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,General Purpose GPU Eight Extra Large,488,10 Gigabit,0,8,,,,,7.2,90
General purpose,current,m5.xlarge,16,4,Intel Xeon Platinum 8175,2.5 GHz,M5 General Purpose Extra Large,16,Up to 10 Gigabit,0,0,,,,,0.192,90
Compute optimized,current,c4.8xlarge,132,36,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,C4 High-CPU Eight Extra Large,60,10 Gigabit,0,0,,,,,1.591,90
Compute optimized,current,c5n.9xlarge,0,36,Intel Xeon Platinum 8124M,3.0 Ghz,C5N 9xlarge,96,50 Gigabit,0,0,,,,,1.944,90
Storage optimized,current,d2.2xlarge,28,8,Intel Xeon E5-2676v3 (Haswell),2.4 GHz,D2 Double Extra Large,61,High,0,0,6,false,false,2000,1.38,90
Storage optimized,current,d2.4xlarge,56,16,Intel Xeon E5-2676v3 (Haswell),2.4 GHz,D2 Quadruple Extra Large,122,High,0,0,12,false,false,2000,2.76,90
General purpose,current,m5ad.4xlarge,0,16,AMD EPYC 7571,2.5 GHz,M5AD Quadruple Extra Large,64,Up to 10 Gigabit,0,0,2,true,true,300,0.824,90
Compute optimized,current,c5.xlarge,17,4,Intel Xeon Platinum 8124M,3.0 Ghz,C5 High-CPU Extra Large,8,Up to 10 Gigabit,0,0,,,,,0.17,90
General purpose,current,m5d.4xlarge,60,16,Intel Xeon Platinum 8175,2.5 GHz,M5 General Purpose Quadruple Extra Large,64,Up to 10 Gigabit,0,0,2,true,true,300,0.904,90
General purpose,current,m4.xlarge,13,4,Intel Xeon E5-2676 v3 (Haswell),2.4  GHz,M4 General Purpose Extra Large,16,High,0,0,,,,,0.2,90
Memory optimized,current,r5a.4xlarge,0,16,AMD EPYC 7571,2.5 GHz,R5A Quadruple Extra Large,128,10 Gigabit,0,0,,,,,0.904,90
General purpose,current,t3.xlarge,variable,4,Intel Skylake E5 2686 v5 (2.5 GHz),,T3 Extra Large,16,Moderate,0,0,,,,,0.1664,90
Memory optimized,current,z1d.12xlarge,271,48,Intel Xeon Platinum 8151,,Z1D 12xlarge,384,25 Gigabit,0,0,2,true,true,900,4.464,90
General purpose,current,m4.16xlarge,188,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,M4 General Purpose 16xlarge,256,20 Gigabit,0,0,,,,,3.2,90
Memory optimized,current,r5.12xlarge,173,48,Intel Xeon Platinum 8175,,R5 12xlarge,384,10 Gigabit,0,0,,,,,3.024,90
General purpose,current,m4.4xlarge,53.5,16,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz,M4 General Purpose Quadruple Extra Large,64,High,0,0,,,,,0.8,90
Memory optimized,current,r4.xlarge,13.5,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,R4 High-Memory Extra Large,30.5,Up to 10 Gigabit,0,0,,,,,0.266,90
General purpose,previous,m1.small,1,1,Intel Xeon Family,,M1 General Purpose Small,1.7,Low,0,0,1,false,false,160,0.044,90
General purpose,current,a1.xlarge,0,4,AWS Graviton Processor,2.3 GHz,A1 Extra Large,8,Up to 10 Gigabit,0,0,,,,,0.102,90
Memory optimized,current,z1d.6xlarge,134,24,Intel Xeon Platinum 8151,,Z1D 6xlarge,192,10 Gigabit,0,0,1,true,true,900,2.232,90
Memory optimized,current,r5d.4xlarge,71,16,Intel Xeon Platinum 8175,,R5D Quadruple Extra Large,128,10 Gigabit,0,0,2,true,true,300,1.152,90
GPU instance,current,p2.xlarge,12,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,General Purpose GPU Extra Large,61,High,0,1,,,,,0.9,90
Compute optimized,previous,c3.4xlarge,55,16,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,C3 High-CPU Quadruple Extra Large,30,High,0,0,2,true,false,160,0.84,90
Memory optimized,current,r4.4xlarge,53,16,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,R4 High-Memory Quadruple Extra Large,122,Up to 10 Gigabit,0,0,,,,,1.064,90
Memory optimized,current,r5a.xlarge,0,4,AMD EPYC 7571,2.5 GHz,R5A Extra Large,32,10 Gigabit,0,0,,,,,0.226,90
Storage optimized,current,h1.2xlarge,26,8,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,H1 Double Extra Large,32,Up to 10 Gigabit,0,0,1,false,false,2000,0.468,90
General purpose,current,m5ad.24xlarge,0,96,AMD EPYC 7571,2.5 GHz,M5AD 24xlarge,384,20 Gigabit,0,0,4,true,true,900,4.944,90
